Kirby Dach,CHI,C,30,5,8,13,0,25,52,0,2,2,0,1,21,21
Logan O'Connor,COL,C,27,5,7,12,5,12,59,0,0,0,1,3,28,23
Evan Bouchard,EDM,D,29,5,13,18,8,10,69,0,0,2,0,1,28,46
Zach Whitecloud,VGK,D,20,5,3,8,8,6,35,1,0,0,1,0,31,47
Eric Robinson,CLS,LW,28,5,7,12,5,6,41,0,0,0,0,0,24,8
Pius Suter,DET,LW,31,5,10,15,-4,2,65,1,0,3,0,0,9,12
Gustav Nyquist,CLS,RW,28,5,6,11,-5,4,26,0,0,0,1,0,8,14
Taylor Hall,BOS,LW,26,5,9,14,-3,12,65,0,2,3,0,0,17,13
Tyler Toffoli,MON,RW,26,5,12,17,-4,4,64,0,2,1,0,0,36,8
Justin Faulk,STL,D,25,5,6,11,13,23,62,3,1,1,0,0,45,35
Hampus Lindholm,ANH,D,32,5,8,13,8,20,70,1,1,1,0,0,22,44
Luke Glendening,DAL,C,29,5,3,8,-6,6,40,0,0,0,0,0,54,20
Sean Kuraly,CLS,C,28,5,5,10,6,17,39,0,0,0,0,0,72,18
Jean-Gabriel Pageau,NYI,C,25,5,5,10,-5,11,44,0,1,0,0,2,56,16
Mikael Granlund,NSH,C,28,5,22,27,5,13,45,1,1,7,0,0,18,13
Ben Chiarot,MON,D,31,5,2,7,-11,26,59,0,1,0,0,0,65,52
Ryan O'Reilly,STL,C,27,5,13,18,-2,2,64,0,2,2,0,0,8,15
Alex Pietrangelo,VGK,D,31,5,17,22,7,24,85,0,1,6,1,1,26,69
Lars Eller,WAS,C,25,5,9,14,9,16,40,0,0,1,0,0,25,16
James van Riemsdyk,PHI,LW,29,5,6,11,-11,14,60,3,3,0,0,0,8,9
Cal Clutterbuck,NYI,RW,26,5,0,5,-4,8,33,1,0,0,1,0,104,12
Phil Kessel,ARI,RW,29,5,12,17,-7,10,62,0,2,4,0,0,3,8
Mathieu Joseph,TB,RW,27,5,5,10,0,8,28,1,0,0,1,0,47,12
Daniel Sprong,WAS,RW,27,5,5,10,3,4,64,0,0,0,0,0,21,9
Yakov Trenin,NSH,C,30,5,3,8,-1,22,48,2,0,0,0,0,68,16
Zach Werenski,CLS,D,28,5,14,19,-2,8,88,1,3,4,0,1,15,40
Travis Konecny,PHI,C,29,5,12,17,-8,18,82,1,2,3,0,0,39,10
